GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3A,FG3M,FG3_PCT,FTA,FTM,FT_PCT,DREB,OREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0028500003,1610612749,MIL,Milwaukee,76518,Charlie Davis,,,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
0028500003,1610612749,MIL,Milwaukee,76713,Kenny Fields,,,3,0,0,0.0,1.0,0.0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0,
0028500003,1610612749,MIL,Milwaukee,77034,Craig Hodges,,,45,7,15,0.467,4.0,2.0,0.5,0,0,0.0,2.0,0.0,2.0,3.0,2.0,0.0,1.0,4.0,16,
0028500003,1610612749,MIL,Milwaukee,77332,Jeff Lamp,,,31,8,12,0.667,0.0,0.0,0.0,7,7,1.0,3.0,3.0,6.0,2.0,2.0,2.0,2.0,4.0,23,
0028500003,1610612749,MIL,Milwaukee,77623,Paul Mokeski,,,18,1,4,0.25,0.0,0.0,0.0,0,0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,2,
0028500003,1610612749,MIL,Milwaukee,77626,Sidney Moncrief,,,27,4,10,0.4,0.0,0.0,0.0,13,13,1.0,3.0,0.0,3.0,4.0,1.0,0.0,2.0,6.0,21,
0028500003,1610612749,MIL,Milwaukee,77879,Paul Pressey,,,29,3,10,0.3,1.0,0.0,0.0,8,5,0.625,5.0,0.0,5.0,8.0,1.0,0.0,2.0,5.0,11,
0028500003,1610612749,MIL,Milwaukee,77946,Jerry Reynolds,,,8,0,2,0.0,0.0,0.0,0.0,4,3,0.75,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3,
0028500003,1610612756,PHX,Phoenix,229,James Edwards,,,24,6,10,0.6,0.0,0.0,0.0,7,6,0.857,5.0,1.0,6.0,2.0,0.0,1.0,3.0,6.0,18,
0028500003,1610612756,PHX,Phoenix,291,Ed Pinckney,,,15,1,4,0.25,0.0,0.0,0.0,4,4,1.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,6,
0028500003,1610612756,PHX,Phoenix,1453,Walter Davis,,,37,11,20,0.55,2.0,1.0,0.5,17,15,0.882,3.0,0.0,3.0,5.0,0.0,0.0,3.0,4.0,38,
0028500003,1610612756,PHX,Phoenix,76011,Alvan Adams,,,40,11,13,0.846,0.0,0.0,0.0,8,6,0.75,6.0,3.0,9.0,6.0,0.0,1.0,6.0,4.0,28,
0028500003,1610612756,PHX,Phoenix,76742,Rod Foster,,,25,2,8,0.25,3.0,0.0,0.0,0,0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,4,
