GAMECODE,GAME_ID,GAME_DATE,OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM
20010226/ATLUTA,0020000814,"MONDAY, FEBRUARY 26, 2001",1144.0,Ted,Bernhardt,16
20010226/ATLUTA,0020000814,"MONDAY, FEBRUARY 26, 2001",1166.0,Hue,Hollins,42
20010226/ATLUTA,0020000814,"MONDAY, FEBRUARY 26, 2001",1172.0,Jim,Kinsey,53
20010306/SASSEA,0020000874,"TUESDAY, MARCH 6, 2001",1147.0,Mike,Callahan,24
20010306/SASSEA,0020000874,"TUESDAY, MARCH 6, 2001",2004.0,Courtney,Kirkland,61
20010306/SASSEA,0020000874,"TUESDAY, MARCH 6, 2001",1192.0,Bennett,Salvatore,15
20010311/MILCLE,0020000907,"SUNDAY, MARCH 11, 2001",1170.0,Denise,Kantner,65
20010311/MILCLE,0020000907,"SUNDAY, MARCH 11, 2001",1197.0,Don,Vaden,12
20010311/MILCLE,0020000907,"SUNDAY, MARCH 11, 2001",1150.0,Jimmy,Clark,6
20010324/WASUTA,0020001001,"SATURDAY, MARCH 24, 2001",1192.0,Bennett,Salvatore,15
20010324/WASUTA,0020001001,"SATURDAY, MARCH 24, 2001",1204.0,Derek,Richardson,63
20010324/WASUTA,0020001001,"SATURDAY, MARCH 24, 2001",1168.0,David,Jones,36
20010324/DETGSW,0020001002,"SATURDAY, MARCH 24, 2001",1827.0,George,Toliver,23
20010324/DETGSW,0020001002,"SATURDAY, MARCH 24, 2001",1203.0,Mark,Wunderlich,18
20010324/DETGSW,0020001002,"SATURDAY, MARCH 24, 2001",1158.0,Hugh,Evans,25
20010328/ORLPHI,0020001026,"WEDNESDAY, MARCH 28, 2001",1176.0,Monty,McCutchen,58
20010328/ORLPHI,0020001026,"WEDNESDAY, MARCH 28, 2001",1188.0,Leroy,Richardson,51
20010328/ORLPHI,0020001026,"WEDNESDAY, MARCH 28, 2001",1142.0,Dick,Bavetta,27
20010401/INDPHI,0020001054,"SUNDAY, APRIL 1, 2001",1192.0,Bennett,Salvatore,15
20010401/INDPHI,0020001054,"SUNDAY, APRIL 1, 2001",1825.0,Mike,Mathis,13
20010401/INDPHI,0020001054,"SUNDAY, APRIL 1, 2001",1168.0,David,Jones,36
20010404/BOSORL,0020001075,"WEDNESDAY, APRIL 4, 2001",2004.0,Courtney,Kirkland,61
20010404/BOSORL,0020001075,"WEDNESDAY, APRIL 4, 2001",1168.0,David,Jones,36
20010404/BOSORL,0020001075,"WEDNESDAY, APRIL 4, 2001",1155.0,JB,DeRosa,14
20010408/SASGSW,0020001108,"SUNDAY, APRIL 8, 2001",1159.0,Kevin,Fehr,39
20010408/SASGSW,0020001108,"SUNDAY, APRIL 8, 2001",1184.0,Ron,Olesiak,44
20010408/SASGSW,0020001108,"SUNDAY, APRIL 8, 2001",1182.0,Ronnie,Nunn,34
20010417/SASPOR,0020001178,"TUESDAY, APRIL 17, 2001",1148.0,James,Capers,19
20010417/SASPOR,0020001178,"TUESDAY, APRIL 17, 2001",1165.0,Luis,Grillo,8
20010417/SASPOR,0020001178,"TUESDAY, APRIL 17, 2001",1163.0,Bernie,Fryer,7
