GAMECODE,GAME_DATE_EST,GAME_ID,GAME_SEQUENCE,GAME_STATUS_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,LIVE_PC_TIME,LIVE_PERIOD,LIVE_PERIOD_TIME_BCAST,NATL_TV_BROADCASTER_ABBREVIATION,SEASON,VISITOR_TEAM_ID,WH_STATUS,ATTENDANCE,GAME_DATE,GAME_TIME
20191101/UTASAC,2019-11-01T00:00:00,21900075,7,3,Final,1610612758,     ,4,Q4       - ,,2019,1610612762,1,16273,"FRIDAY, NOVEMBER 1, 2019",2:16
20191101/SASGSW,2019-11-01T00:00:00,21900076,8,3,Final,1610612744,     ,4,Q4       - ,,2019,1610612759,1,18064,"FRIDAY, NOVEMBER 1, 2019",2:10
20191102/NOPOKC,2019-11-02T00:00:00,21900077,1,3,Final,1610612760,     ,4,Q4       - ,,2019,1610612740,1,18203,"SATURDAY, NOVEMBER 2, 2019",2:15
20191102/BKNDET,2019-11-02T00:00:00,21900078,2,3,Final,1610612765,     ,4,Q4       - ,,2019,1610612751,1,17222,"SATURDAY, NOVEMBER 2, 2019",2:29
20191102/DENORL,2019-11-02T00:00:00,21900079,3,3,Final,1610612753,     ,4,Q4       - NBA TV,NBA TV,2019,1610612743,1,17025,"SATURDAY, NOVEMBER 2, 2019",2:16
20191102/MINWAS,2019-11-02T00:00:00,21900080,4,3,Final,1610612764,     ,4,Q4       - ,,2019,1610612750,1,15150,"SATURDAY, NOVEMBER 2, 2019",2:07
20191102/PHXMEM,2019-11-02T00:00:00,21900081,5,3,Final,1610612763,     ,4,Q4       - ,,2019,1610612756,1,14144,"SATURDAY, NOVEMBER 2, 2019",2:11
20191102/TORMIL,2019-11-02T00:00:00,21900082,6,3,Final,1610612749,     ,4,Q4       - ,,2019,1610612761,1,17637,"SATURDAY, NOVEMBER 2, 2019",2:17
20191102/CHAGSW,2019-11-02T00:00:00,21900083,7,3,Final,1610612744,     ,4,Q4       - ,,2019,1610612766,1,18064,"SATURDAY, NOVEMBER 2, 2019",2:17
20191102/PHIPOR,2019-11-02T00:00:00,21900084,8,3,Final,1610612757,     ,4,Q4       - NBA TV,NBA TV,2019,1610612755,1,19669,"SATURDAY, NOVEMBER 2, 2019",2:15
20191103/CHIIND,2019-11-03T00:00:00,21900085,1,3,Final,1610612754,     ,4,Q4       - ,,2019,1610612741,1,17073,"SUNDAY, NOVEMBER 3, 2019",2:13
20191103/HOUMIA,2019-11-03T00:00:00,21900086,2,3,Final,1610612748,     ,4,Q4       - ,,2019,1610612745,1,19724,"SUNDAY, NOVEMBER 3, 2019",2:12
20191103/SACNYK,2019-11-03T00:00:00,21900087,3,3,Final,1610612752,     ,4,Q4       - ,,2019,1610612758,1,19812,"SUNDAY, NOVEMBER 3, 2019",2:23
20191103/LALSAS,2019-11-03T00:00:00,21900088,4,3,Final,1610612759,     ,4,Q4       - ,,2019,1610612747,1,18610,"SUNDAY, NOVEMBER 3, 2019",2:12
20191103/DALCLE,2019-11-03T00:00:00,21900089,5,3,Final,1610612739,     ,4,Q4       - ,,2019,1610612742,1,18078,"SUNDAY, NOVEMBER 3, 2019",2:03
20191103/UTALAC,2019-11-03T00:00:00,21900090,6,3,Final,1610612746,     ,4,Q4       - ,,2019,1610612762,1,19068,"SUNDAY, NOVEMBER 3, 2019",2:22
20191104/DETWAS,2019-11-04T00:00:00,21900091,1,3,Final,1610612764,     ,4,Q4       - ,,2019,1610612765,1,13052,"MONDAY, NOVEMBER 4, 2019",2:17
20191104/NOPBKN,2019-11-04T00:00:00,21900092,2,3,Final,1610612751,     ,4,Q4       - NBA TV,NBA TV,2019,1610612740,1,17194,"MONDAY, NOVEMBER 4, 2019",2:18
20191104/HOUMEM,2019-11-04T00:00:00,21900093,3,3,Final,1610612763,     ,4,Q4       - ,,2019,1610612745,1,14197,"MONDAY, NOVEMBER 4, 2019",2:17
20191104/MILMIN,2019-11-04T00:00:00,21900094,4,3,Final,1610612750,     ,4,Q4       - ,,2019,1610612749,1,16271,"MONDAY, NOVEMBER 4, 2019",2:21
20191104/PHIPHX,2019-11-04T00:00:00,21900095,5,3,Final,1610612756,     ,4,Q4       - ,,2019,1610612755,1,14285,"MONDAY, NOVEMBER 4, 2019",0:00
20191104/PORGSW,2019-11-04T00:00:00,21900096,6,3,Final,1610612744,     ,4,Q4       - NBA TV,NBA TV,2019,1610612757,1,18064,"MONDAY, NOVEMBER 4, 2019",2:16
20191105/INDCHA,2019-11-05T00:00:00,21900097,1,3,Final,1610612766,     ,5,Q5       - ,,2019,1610612754,1,13341,"TUESDAY, NOVEMBER 5, 2019",2:35
20191105/BOSCLE,2019-11-05T00:00:00,21900098,2,3,Final,1610612739,     ,4,Q4       - ,,2019,1610612738,1,17709,"TUESDAY, NOVEMBER 5, 2019",2:08
20191105/SASATL,2019-11-05T00:00:00,21900099,3,3,Final,1610612737,     ,4,Q4       - ,,2019,1610612759,1,14025,"TUESDAY, NOVEMBER 5, 2019",2:21
20191105/LALCHI,2019-11-05T00:00:00,21900100,4,3,Final,1610612741,     ,4,Q4       - NBA TV,NBA TV,2019,1610612747,1,21193,"TUESDAY, NOVEMBER 5, 2019",2:11
20191105/ORLOKC,2019-11-05T00:00:00,21900101,5,3,Final,1610612760,     ,4,Q4       - ,,2019,1610612753,1,18203,"TUESDAY, NOVEMBER 5, 2019",2:13
20191105/MIADEN,2019-11-05T00:00:00,21900102,6,3,Final,1610612743,     ,4,Q4       - ,,2019,1610612748,1,18010,"TUESDAY, NOVEMBER 5, 2019",2:13
20191106/NYKDET,2019-11-06T00:00:00,21900103,1,3,Final,1610612765,     ,4,Q4       - ,,2019,1610612752,1,15463,"WEDNESDAY, NOVEMBER 6, 2019",2:11
20191106/WASIND,2019-11-06T00:00:00,21900104,2,3,Final,1610612754,     ,4,Q4       - ,,2019,1610612764,1,16171,"WEDNESDAY, NOVEMBER 6, 2019",2:15
