GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3A,FG3M,FG3_PCT,FTA,FTM,FT_PCT,DREB,OREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0028400002,1610612755,PHL,Philadelphia,76681,Julius Erving,,,34,4,14.0,0.286,0.0,0.0,0.0,5.0,4,0.8,3.0,1.0,4.0,3.0,2.0,0.0,3.0,5.0,12,
0028400002,1610612755,PHL,Philadelphia,77092,Marc Iavaroni,,,13,2,2.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,2.0,4,
0028400002,1610612755,PHL,Philadelphia,77136,Clemon Johnson,,,13,1,4.0,0.25,0.0,0.0,0.0,2.0,1,0.5,2.0,3.0,5.0,2.0,0.0,1.0,0.0,3.0,3,
0028400002,1610612755,PHL,Philadelphia,77193,Bobby Jones,,,22,2,5.0,0.4,0.0,0.0,0.0,2.0,1,0.5,4.0,0.0,4.0,0.0,0.0,4.0,0.0,3.0,5,
0028400002,1610612755,PHL,Philadelphia,77449,Moses Malone,,,35,8,18.0,0.444,0.0,0.0,0.0,12.0,10,0.833,11.0,8.0,19.0,0.0,0.0,2.0,1.0,2.0,26,
0028400002,1610612755,PHL,Philadelphia,78351,Andrew Toney,,,29,8,16.0,0.5,0.0,0.0,0.0,4.0,3,0.75,2.0,0.0,2.0,4.0,1.0,2.0,1.0,2.0,19,
0028400002,1610612755,PHL,Philadelphia,78611,Leon Wood,,,12,3,5.0,0.6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6,
0028400003,1610612738,BOS,Boston,305,Robert Parish,,,32,10,12.0,0.833,0.0,0.0,0.0,5.0,5,1.0,6.0,1.0,7.0,1.0,0.0,2.0,1.0,6.0,25,
0028400003,1610612738,BOS,Boston,1123,Greg Kite,,,6,1,3.0,0.333,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2,
0028400003,1610612738,BOS,Boston,1449,Larry Bird,,,43,12,24.0,0.5,1.0,1.0,1.0,10.0,8,0.8,11.0,2.0,13.0,8.0,0.0,2.0,5.0,4.0,33,
0028400003,1610612738,BOS,Boston,1450,Kevin McHale,,,40,8,17.0,0.471,0.0,0.0,0.0,4.0,3,0.75,12.0,3.0,15.0,3.0,0.0,2.0,1.0,1.0,19,
0028400003,1610612738,BOS,Boston,76017,Danny Ainge,,,32,5,11.0,0.455,0.0,0.0,0.0,0.0,0,0.0,2.0,2.0,4.0,7.0,0.0,0.0,2.0,5.0,10,
